Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/292 [00:00<?, ?it/s]Loading weights: 100%|██████████| 292/292 [00:00<00:00, 19677.96it/s]
  EleutherAI/pythia-410m|binary.freq_matched.r2     p_dom=0.9969 h_cond=0.0273 top1=0.9993
  EleutherAI/pythia-410m|binary.freq_matched.r3     p_dom=0.9978 h_cond=0.0195 top1=0.9993
  EleutherAI/pythia-410m|binary.semantic.r2         p_dom=0.7571 h_cond=0.6374 top1=0.9980
  EleutherAI/pythia-410m|binary.semantic.r3         p_dom=0.7717 h_cond=0.6792 top1=0.9974
  EleutherAI/pythia-410m|binary.uniform.r2          p_dom=0.9948 h_cond=0.0424 top1=0.6029
  EleutherAI/pythia-410m|binary.uniform.r3          p_dom=0.9901 h_cond=0.0675 top1=0.5924
  EleutherAI/pythia-410m|colours.freq_matched.r2    p_dom=0.8178 h_cond=0.6850 top1=0.4525
  EleutherAI/pythia-410m|colours.freq_matched.r3    p_dom=0.8525 h_cond=0.5452 top1=0.4206
  EleutherAI/pythia-410m|colours.semantic.r2        p_dom=0.5591 h_cond=1.8345 top1=0.3724
  EleutherAI/pythia-410m|colours.semantic.r3        p_dom=0.5073 h_cond=1.9541 top1=0.3711
  EleutherAI/pythia-410m|colours.uniform.r2         p_dom=0.7670 h_cond=0.8353 top1=0.9980
  EleutherAI/pythia-410m|colours.uniform.r3         p_dom=0.8074 h_cond=0.7251 top1=0.8984
  EleutherAI/pythia-410m|digits.freq_matched.r2     p_dom=0.7501 h_cond=0.9743 top1=0.2650
  EleutherAI/pythia-410m|digits.freq_matched.r3     p_dom=0.7612 h_cond=0.9050 top1=0.2975
  EleutherAI/pythia-410m|digits.semantic.r2         p_dom=0.4028 h_cond=2.4873 top1=0.9876
  EleutherAI/pythia-410m|digits.semantic.r3         p_dom=0.4324 h_cond=2.3838 top1=0.9850
  EleutherAI/pythia-410m|digits.uniform.r2          p_dom=0.7548 h_cond=0.9567 top1=0.4818
  EleutherAI/pythia-410m|digits.uniform.r3          p_dom=0.8005 h_cond=0.7927 top1=0.5443
Loading weights:   0%|          | 0/148 [00:00<?, ?it/s]Loading weights: 100%|██████████| 148/148 [00:00<00:00, 7066.18it/s]
  gpt2|binary.freq_matched.r2     p_dom=0.9684 h_cond=0.1613 top1=0.8861
  gpt2|binary.freq_matched.r3     p_dom=0.9681 h_cond=0.1507 top1=0.5814
  gpt2|binary.semantic.r2         p_dom=0.7677 h_cond=0.6714 top1=0.8887
  gpt2|binary.semantic.r3         p_dom=0.8086 h_cond=0.6253 top1=0.9466
  gpt2|binary.uniform.r2          p_dom=0.9462 h_cond=0.2025 top1=0.8242
  gpt2|binary.uniform.r3          p_dom=0.8894 h_cond=0.2894 top1=0.5254
  gpt2|colours.freq_matched.r2    p_dom=0.9206 h_cond=0.3122 top1=0.4102
  gpt2|colours.freq_matched.r3    p_dom=0.9017 h_cond=0.3566 top1=0.5098
  gpt2|colours.semantic.r2        p_dom=0.5153 h_cond=1.9197 top1=0.2949
  gpt2|colours.semantic.r3        p_dom=0.3900 h_cond=2.1950 top1=0.2786
  gpt2|colours.uniform.r2         p_dom=0.9460 h_cond=0.2129 top1=0.5273
  gpt2|colours.uniform.r3         p_dom=0.9295 h_cond=0.2743 top1=0.4193
